algorithm,sample_size,runs,avg_elapsed,std_elapsed
DUC,2000,3,0.958,0.295
DUCT,2000,3,2.44,1.821
DUCM,2000,3,4.079,0.898
DUC,4000,3,2.915,0.691
DUCT,4000,3,1.733,0.346
DUCM,4000,3,4.544,1.029
DUC,6000,3,5.57,1.509
DUCT,6000,3,3.629,0.559
DUCM,6000,3,5.284,0.994
DUC,8000,3,9.691,1.254
DUCT,8000,3,6.125,1.135
DUCM,8000,3,6.052,1.133
DUC,10000,3,13.429,2.674
DUCT,10000,3,9.151,0.999
DUCM,10000,3,7.07,1.078
DUC,12000,3,18.873,2.701
DUCT,12000,3,14.052,0.429
DUCM,12000,3,8.782,1.034
DUC,14000,3,25.696,3.484
DUCT,14000,3,18.371,1.876
DUCM,14000,3,9.536,1.108
DUC,16000,3,33.182,3.635
DUCT,16000,3,24.602,0.411
DUCM,16000,3,11.112,1.123
DUC,18000,3,49.296,15.724
DUCT,18000,3,42.668,25.146
DUCM,18000,3,15.919,6.832
DUC,20000,3,59.354,18.199
DUCT,20000,3,36.411,2.777
DUCM,20000,3,13.706,1.322
DUC,22000,3,62.586,3.745
DUCT,22000,3,44.239,4.365
DUCM,22000,3,15.497,2.07
DUC,24000,3,74.916,5.544
DUCT,24000,3,50.97,4.2
DUCM,24000,3,16.745,1.796
DUC,26000,3,84.725,11.054
DUCT,26000,3,59.239,6.008
DUCM,26000,3,18.485,1.957
DUC,28000,3,98.44,11.817
DUCT,28000,3,71.422,7.076
DUCM,28000,3,20.642,2.166
DUC,30000,3,113.794,15.151
DUCT,30000,3,80.008,8.493
DUCM,30000,3,23.208,2.717
DUC,32000,3,128.026,15.387
DUCT,32000,3,91.053,8.113
DUCM,32000,3,24.945,3.013
DUC,34000,3,145.1,18.522
DUCT,34000,3,103.04,8.687
DUCM,34000,3,26.907,2.157
DUC,36000,3,162.034,19.902
DUCT,36000,3,115.206,9.292
DUCM,36000,3,29.365,3.023
DUC,38000,3,180.161,22.471
DUCT,38000,3,130.276,15.479
DUCM,38000,3,31.633,2.826
DUC,40000,3,202.947,27.088
DUCT,40000,3,141.478,12.77
DUCM,40000,3,33.404,5.148
DUC,42000,3,234.675,41.662
DUCT,42000,3,152.122,14.73
DUCM,42000,3,36.182,4.811
DUC,44000,3,308.511,133.395
DUCT,44000,3,153.035,24.884
DUCM,44000,3,38.204,5.092
DUC,46000,3,337.055,149.488
DUCT,46000,3,234.64,95.679
DUCM,46000,3,50.919,13.773
DUC,48000,3,392.985,205.859
DUCT,48000,3,256.233,102.827
DUCM,48000,3,54.527,16.717
DUC,50000,3,420.429,225.375
DUCT,50000,3,272.714,113.265
DUCM,50000,3,55.092,16.584
