algorithm,trace_length,runs,avg_elapsed,std_elapsed
DUC,1,3,0.132,0.149
DUCT,1,3,0.012,0.001
DUCM,1,3,0.274,0.014
DUC,2,3,3.178,0.326
DUCT,2,3,1.62,0.231
DUCM,2,3,3.98,0.995
DUC,3,3,2.434,0.409
DUCT,3,3,1.876,1.356
DUCM,3,3,7.035,4.224
DUC,4,3,2.251,0.413
DUCT,4,3,1.573,0.59
DUCM,4,3,6.972,4.203
DUC,5,3,2.371,0.129
DUCT,5,3,1.269,0.096
DUCM,5,3,5.634,1.861
DUC,6,3,12.977,1.535
DUCT,6,3,11.259,4.192
DUCM,6,3,6.799,0.802
DUC,7,3,16.863,7.391
DUCT,7,3,9.64,1.108
DUCM,7,3,6.675,0.722
DUC,8,3,14.013,1.815
DUCT,8,3,9.95,1.161
DUCM,8,3,6.894,0.737
DUC,9,3,14.879,3.325
DUCT,9,3,9.742,0.636
DUCM,9,3,7.096,0.658
DUC,10,3,13.409,0.944
DUCT,10,3,9.857,0.234
DUCM,10,3,7.696,0.366
DUC,11,3,48.058,2.934
DUCT,11,3,34.774,1.03
DUCM,11,3,16.21,0.479
DUC,12,3,78.343,3.297
DUCT,12,3,56.635,3.429
DUCM,12,3,25.198,2.374
