algorithm,type_count,runs,avg_elapsed,std_elapsed
DUC,3,3,208.825,11.689
DUCT,3,3,152.933,8.211
DUCM,3,3,43.497,1.01
DUC,4,3,74.021,3.561
DUCT,4,3,53.462,0.182
DUCM,4,3,19.604,0.799
DUC,5,3,14.366,0.729
DUCT,5,3,10.246,0.563
DUCM,5,3,7.551,0.227
DUC,6,3,14.251,0.661
DUCT,6,3,10.636,1.065
DUCM,6,3,7.377,0.139
DUC,7,3,14.168,0.446
DUCT,7,3,11.399,1.701
DUCM,7,3,7.944,0.304
DUC,8,3,13.852,0.508
DUCT,8,3,9.927,0.407
DUCM,8,3,7.512,0.229
DUC,9,3,13.909,0.049
DUCT,9,3,10.264,0.545
DUCM,9,3,7.71,0.445
DUC,10,3,2.816,0.233
DUCT,10,3,1.791,0.156
DUCM,10,3,6.322,0.405
DUC,11,3,2.972,0.511
DUCT,11,3,1.813,0.24
DUCM,11,3,6.511,0.323
DUC,12,3,2.949,0.468
DUCT,12,3,1.84,0.147
DUCM,12,3,5.846,0.309
