n,discovery_s,merging_s,total_s,param2
2000,0.3056,0.3131,0.7177,2
4000,1.5735,0.7946,2.5527,2
6000,2.6343,1.6506,4.5363,2
8000,2.8421,3.3560,7.3204,2
10000,5.8531,5.6060,12.6893,2
12000,8.1238,7.9095,17.4832,2
14000,10.4720,11.3930,23.4464,2
16000,14.1023,15.0738,31.4456,2
18000,15.7367,17.5421,35.7405,2
20000,20.4776,22.7426,46.5212,2
22000,24.0353,26.3722,52.3579,2
24000,28.2781,71.3906,102.4998,2
26000,79.7314,87.3014,171.8798,2
28000,91.4181,102.0904,197.6985,2
30000,103.4542,115.9971,224.8948,2
32000,117.2716,131.5218,254.4299,2
34000,133.9053,147.1889,287.7272,2
36000,144.5126,165.7486,316.3098,2
38000,162.7338,184.6271,354.5806,2
40000,178.5285,205.5896,393.2729,2
