n,discovery_s,merging_s,total_s,param2
2000,0.4213,0.7366,1.2808,3
4000,2.1176,2.4517,4.7963,3
6000,4.5665,8.2605,13.1975,3
8000,6.0199,11.3722,19.4254,3
10000,7.6270,14.4123,23.5536,3
12000,10.3076,23.1606,35.1540,3
14000,15.1064,38.0825,56.1309,3
16000,20.0048,43.5224,65.6290,3
18000,23.8041,54.7555,81.7840,3
20000,30.2294,66.4082,99.9191,3
22000,35.1377,82.3296,120.9603,3
24000,41.1005,95.5049,139.3730,3
26000,49.0416,113.5192,167.2807,3
28000,58.6512,132.0735,195.1096,3
30000,65.0711,150.5603,219.8405,3
32000,71.3333,171.8653,247.9085,3
34000,80.4585,192.7963,279.0561,3
36000,92.1584,217.5366,315.5821,3
38000,101.3963,241.2327,347.4269,3
40000,110.9449,268.0925,385.3812,3
