algorithm,sample_size,trace_length,dimensions,support,time_s,queries_found
D-U-C,10,10,1,1.0,0.0009,1
D-U-C-T,10,10,1,1.0,0.5215,1
D-U-C-M,10,10,1,1.0,0.7189,1
D-U-S,10,10,1,1.0,0.0013,1
D-U-S-D,10,10,1,1.0,0.001,1
B-S-C,10,10,1,1.0,0.0014,1
B-S-S,10,10,1,1.0,0.0012,1
D-U-C,2000,10,2,1.0,0.4257,2
D-U-C-T,2000,10,2,1.0,0.774,2
D-U-C-M,2000,10,2,1.0,0.9786,2
D-U-S,2000,10,2,1.0,0.6614,2
D-U-S-D,2000,10,2,1.0,0.382,2
B-S-C,2000,10,2,1.0,0.4144,2
B-S-S,2000,10,2,1.0,0.432,2
D-U-C,50000,10,2,1.0,158.9717,2
D-U-C-T,50000,10,2,1.0,91.557,2
D-U-C-M,50000,10,2,1.0,15.7457,2
D-U-S,50000,10,2,1.0,143.4295,2
D-U-S-D,50000,10,2,1.0,110.0668,2
B-S-C,50000,10,2,1.0,150.2359,2
B-S-S,50000,10,2,1.0,142.7983,2
D-U-C,5000,10,2,1.0,1.7987,2
D-U-C-T,5000,10,2,1.0,1.6218,2
D-U-C-M,5000,10,2,1.0,1.2373,2
D-U-S,5000,10,2,1.0,2.2029,2
D-U-S-D,5000,10,2,1.0,1.5397,2
